name,symbol,atomicNumber,atomicWeight,classification_id,meltingPoint,boilingPoint,electronegativity,about,imgurl
Yttrium,Y,39,88.90585,Transition Metals,1799,3609,1.22,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Yttrium_sublimed_dendritic_and_1cm3_cube.jpg/1920px-Yttrium_sublimed_dendritic_and_1cm3_cube.jpg
Zirconium,Zr,40,91.224,Transition Metals,2128,4682,1.33,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Zirconium_crystal_bar_and_1cm3_cube.jpg/1280px-Zirconium_crystal_bar_and_1cm3_cube.jpg
Niobium,Nb,41,92.90638,Transition Metals,2750,5017,1.6,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Niobium_crystals_and_1cm3_cube.jpg/1920px-Niobium_crystals_and_1cm3_cube.jpg
Molybdenum,Mo,42,95.94,Transition Metals,2896,4912,2.16,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Molybdenum_crystaline_fragment_and_1cm3_cube.jpg/1920px-Molybdenum_crystaline_fragment_and_1cm3_cube.jpg
Technetium,Tc,43,98,Transition Metals,2430,4538,1.9,,https://upload.wikimedia.org/wikipedia/en/8/89/Technetium.jpg
Ruthenium,Ru,44,101.07,Transition Metals,2607,4423,2.2,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Ruthenium_a_half_bar.jpg/1920px-Ruthenium_a_half_bar.jpg
Rhodium,Rh,45,102.9055,Transition Metals,2237,3968,2.28,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Rhodium_powder_pressed_melted.jpg/1920px-Rhodium_powder_pressed_melted.jpg
Palladium,Pd,46,106.42,Transition Metals,1828.05,3236,2.2,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Palladium_%2846_Pd%29.jpg
Silver,Ag,47,107.8682,Transition Metals,1234.93,2435,1.93,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Silver_crystal.jpg/1280px-Silver_crystal.jpg
Cadmium,Cd,48,112.411,Transition Metals,594.22,1040,1.69,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Cadmium-crystal_bar.jpg/1920px-Cadmium-crystal_bar.jpg
Indium,In,49,114.818,Post-Transition Metals,429.75,2345,1.78,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Indium.jpg/1280px-Indium.jpg
Tin,Sn,50,118.71,Post-Transition Metals,505.08,2875,1.96,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Tin-2.jpg/1024px-Tin-2.jpg
Antimony,Sb,51,121.76,Metalloids,903.78,1860,2.05,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Antimony-4.jpg
Tellurium,Te,52,127.6,Metalloids,722.66,1261,2.1,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tellurium2.jpg/1024px-Tellurium2.jpg
Iodine,I,53,126.90447,Halogens,386.85,457.4,2.66,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Sample_of_iodine.jpg/1920px-Sample_of_iodine.jpg
Xenon,Xe,54,131.29,Noble Gases,161.4,165.03,2.6,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Xenon_discharge_tube.jpg
Cesium,Cs,55,132.90545,Alkali Metals,301.59,944,0.79,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Cesium.jpg/1280px-Cesium.jpg
Barium,Ba,56,137.327,Alkaline Earth Metals,1000,2170,0.89,,https://upload.wikimedia.org/wikipedia/commons/1/16/Barium_unter_Argon_Schutzgas_Atmosph%C3%A4re.jpg
Lanthanum,La,57,138.90547,Lanthanides,1193,3737,1.1,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Lanthanum-2.jpg
Cerium,Ce,58,140.116,Lanthanides,1068,3716,1.12,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Cerium2.jpg
Praseodymium,Pr,59,140.90765,Lanthanides,1208,3793,1.13,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Praseodymium.jpg
Neodymium,Nd,60,144.242,Lanthanides,1297,3347,1.14,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Neodymium2.jpg
Promethium,Pm,61,145,Lanthanides,1315,3273,1.13,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Neodymium2.jpg
Samarium,Sm,62,150.36,Lanthanides,1345,2067,1.17,,https://upload.wikimedia.org/wikipedia/commons/8/88/Samarium-2.jpg
Europium,Eu,63,151.964,Lanthanides,1099,1802,1.2,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Europium.jpg
Gadolinium,Gd,64,157.25,Lanthanides,1585,3546,1.2,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Gadolinium-4.jpg
Terbium,Tb,65,158.92535,Lanthanides,1629,3503,1.2,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Terbium-2.jpg
Dysprosium,Dy,66,162.5,Lanthanides,1680,2840,1.22,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Dy_chips.jpg
Holmium,Ho,67,164.93032,Lanthanides,1734,2993,1.23,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Holmium2.jpg
Erbium,Er,68,167.259,Lanthanides,1802,3141,1.24,,https://www.thoughtco.com/thmb/R8OAkQhQqoxwT7kWoZ_QCOPQgBs=/768x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Erbium-5b6b2822c9e77c005042bbc8.jpg
Thulium,Tm,69,168.93421,Lanthanides,1818,2223,1.25,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thulium_sublimed_dendritic_and_1cm3_cube.jpg/220px-Thulium_sublimed_dendritic_and_1cm3_cube.jpg
Ytterbium,Yb,70,173.054,Lanthanides,1097,1469,1.1,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ytterbium-3.jpg
Lutetium,Lu,71,174.9668,Lanthanides,1925,3675,1.27,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Lutetium_sublimed_dendritic_and_1cm3_cube.jpg/220px-Lutetium_sublimed_dendritic_and_1cm3_cube.jpg
Hafnium,Hf,72,178.49,Transition Metals,2506,4876,1.3,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Hf-crystal_bar.jpg/1920px-Hf-crystal_bar.jpg
Tantalum,Ta,73,180.9479,Transition Metals,3290,5731,1.5,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Tantalum_single_crystal_and_1cm3_cube.jpg/1920px-Tantalum_single_crystal_and_1cm3_cube.jpg
Tungsten,W,74,183.84,Transition Metals,3695,5828,2.36,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Wolfram_evaporated_crystals_and_1cm3_cube.jpg/1920px-Wolfram_evaporated_crystals_and_1cm3_cube.jpg
Rhenium,Re,75,186.207,Transition Metals,3459,5869,1.9,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rhenium_single_crystal_bar_and_1cm3_cube.jpg/1920px-Rhenium_single_crystal_bar_and_1cm3_cube.jpg
Osmium,Os,76,190.23,Transition Metals,3306,5285,2.2,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Osmium_crystals.jpg/220px-Osmium_crystals.jpg
Iridium,Ir,77,192.217,Transition Metals,2719,4701,2.2,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Iridium-2.jpg
Platinum,Pt,78,195.078,Transition Metals,2041.4,4098,2.28,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Platinum_crystals.jpg/1280px-Platinum_crystals.jpg
Gold,Au,79,196.96655,Transition Metals,1337.33,3129,2.54,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Gold-crystals.jpg
Mercury,Hg,80,200.59,Transition Metals,234.43,629.88,2,,https://ichemepresident.files.wordpress.com/2014/09/liquid-mercury-e1408545320177.jpg?w=825&h=510&crop=1
Thallium,Tl,81,204.3833,Post-Transition Metals,577,1746,1.62,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Thallium_pieces_in_ampoule.jpg
Lead,Pb,82,207.2,Post-Transition Metals,600.61,2022,1.87,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lead_electrolytic_and_1cm3_cube.jpg
Bismuth,Bi,83,208.9804,Post-Transition Metals,544.7,1837,2.02,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Bismuth_crystals_and_1cm3_cube.jpg
Polonium,Po,84,209,Metalloids,527,1235,2,,https://upload.wikimedia.org/wikipedia/en/6/66/Polonium.jpg
Astatine,At,85,210,Halogens,null,500,2.2,,https://media.sciencephoto.com/image/c0131642/800wm/C0131642-Astatine,_atomic_structure.jpg
Radon,Rn,86,222,Noble Gases,202,211.3,2.2,,https://media.sciencephoto.com/image/c0131643/800wm/C0131643-Radon,_atomic_structure.jpg
Francium,Fr,87,223,Alkali Metals,300,950,0.7,,https://vignette.wikia.nocookie.net/periodictableofelements/images/f/f3/Enhanced-buzz-12527-1366210293-8.jpg/revision/latest?cb=20150702162258
Radium,Ra,88,226,Alkaline Earth Metals,973,2010,0.9,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Radium226.jpg
Actinium,Ac,89,227,Actinides,1323,3471,1.1,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Actinium.jpg
Thorium,Th,90,232.0381,Actinides,2115,5061,1.3,,https://upload.wikimedia.org/wikipedia/commons/1/13/Thorium_sample_0.1g.jpg
Protactinium,Pa,91,231.03588,Actinides,1841,4300,1.5,,https://upload.wikimedia.org/wikipedia/en/0/05/Protactinium.jpg
Uranium,U,92,238.02891,Actinides,1405.3,4404,1.38,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/HEUraniumC.jpg/1280px-HEUraniumC.jpg
Neptunium,Np,93,237,Actinides,917,4273,1.36,,https://upload.wikimedia.org/wikipedia/commons/0/03/Np_sphere.jpg
Plutonium,Pu,94,244,Actinides,912.5,3501,1.28,,https://upload.wikimedia.org/wikipedia/commons/9/98/Plutonium3.jpg
Americium,Am,95,243,Actinides,1449,2880,1.13,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Americium_microscope.jpg
Curium,Cm,96,247,Actinides,1613,3383,1.28,,https://www.nucleonica.com/wiki/articles/Elements/Image37.jpg
Berkelium,Bk,97,247,Actinides,1259,2900,1.3,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Berkelium_metal.jpg
Californium,Cf,98,251,Actinides,1173,1743,1.3,,https://i.kinja-img.com/gawker-media/image/upload/s--4MHryTK5--/c_scale,f_auto,fl_progressive,q_80,w_800/1472646901592642119.jpg
Einsteinium,Es,99,252,Actinides,1133,1269,1.3,,https://upload.wikimedia.org/wikipedia/commons/5/55/Einsteinium.jpg
Fermium,Fm,100,257,Actinides,1125,,1.3,,https://media.sciencephoto.com/image/c0131843/800wm/C0131843-Fermium,_atomic_structure.jpg
Mendelevium,Md,101,258,Actinides,1100,,1.3,,https://media.sciencephoto.com/image/c0131844/800wm/C0131844-Mendelevium,_atomic_structure.jpg
Nobelium,No,102,259,Actinides,1100,,1.3,,https://media.sciencephoto.com/image/c0131845/800wm/C0131845-Nobelium,_atomic_structure.jpg
Lawrencium,Lr,103,262,Transition Metals,1900,,1.3,,https://media.sciencephoto.com/image/c0131846/800wm/C0131846-Lawrencium,_atomic_structure.jpg
Rutherfordium,Rf,104,267,Transition Metals,2400,5800,,,https://media.sciencephoto.com/image/c0131847/800wm/C0131847-Rutherfordium,_atomic_structure.jpg
Dubnium,Db,105,268,Transition Metals,,,,,https://media.sciencephoto.com/image/c0131848/800wm/C0131848-Dubnium,_atomic_structure.jpg
Seaborgium,Sg,106,269,Transition Metals,,,,,https://media.sciencephoto.com/image/c0131849/800wm/C0131849-Seaborgium,_atomic_structure.jpg
Bohrium,Bh,107,270,Transition Metals,,,,,https://media.sciencephoto.com/image/c0131850/800wm/C0131850-Bohrium,_atomic_structure.jpg
Hassium,Hs,108,270,Transition Metals,,,,,https://media.sciencephoto.com/image/c0131851/800wm/C0131851-Hassium,_atomic_structure.jpg
Meitnerium,Mt,109,278,Unknown Chemical Properties,,,,,https://media.sciencephoto.com/image/c0131852/800wm/C0131852-Meitnerium,_atomic_structure.jpg
Darmstadtium,Ds,110,281,Unknown Chemical Properties,,,,,https://media.sciencephoto.com/image/c0131853/800wm/C0131853-Darmstadtium,_atomic_structure.jpg
Roentgenium,Rg,111,282,Unknown Chemical Properties,,,,,https://media.sciencephoto.com/image/c0131854/800wm/C0131854-Roentgenium,_atomic_structure.jpg
Copernicium,Cn,112,285,Post-Transition Metals,,,,,https://media.sciencephoto.com/image/c0131855/800wm/C0131855-Copernicium,_atomic_structure.jpg
Nihonium,Nh,113,286,Unknown Chemical Properties,700,1400,,,
Flerovium,Fl,114,289,Unknown Chemical Properties,,,,,https://media.sciencephoto.com/image/c0131857/800wm/C0131857-Flerovium,_atomic_structure.jpg
Moscovium,Mc,115,290,Unknown Chemical Properties,700,1400,,,
Livermorium,Lv,116,293,Unknown Chemical Properties,709,1085,,,https://media.sciencephoto.com/image/c0131859/800wm/C0131859-Livermorium,_atomic_structure.jpg
Tennessine,Ts,117,294,Unknown Chemical Properties,723,883,,,
Oganesson,Og,118,294,Unknown Chemical Properties,,350,,,
